#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1.40E+18,4.688319,-1.786938,0.783338,0.534108,-0.153029,-0.827383,-0.082152,-0.027876,0.033207,0.800006,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.206646983,0.325329373,-0.040491639,10.03547183,-0.179788583,-4.135137417
1.40E+18,4.688177,-1.78677,0.78735,0.53464,-0.15299,-0.826976,-0.082863,-0.029272,0.033992,0.804771,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.215024564,0.333008821,-0.046774824,9.749444542,-0.024516625,-4.077931958
1.40E+18,4.688028,-1.786598,0.791382,0.535178,-0.152945,-0.826562,-0.083605,-0.030043,0.034999,0.80824,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.224798408,0.33649948,-0.057944931,9.496106083,0.024516625,-4.077931958
1.40E+18,4.687878,-1.786421,0.795429,0.535715,-0.152884,-0.826146,-0.084391,-0.03023,0.035853,0.810462,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.237364778,0.338593875,-0.074700092,9.210078792,0.032688833,-4.061587542
1.40E+18,4.687727,-1.78624,0.799484,0.536244,-0.152821,-0.825731,-0.085213,-0.029905,0.036316,0.811406,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.248534885,0.33649948,-0.076096355,8.940395917,-0.016344417,-4.061587542
1.40E+18,4.687579,-1.786059,0.80354,0.536768,-0.152768,-0.825314,-0.086049,-0.029255,0.036089,0.811225,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.252025544,0.337197611,-0.073303829,8.719746292,-0.14709975,-4.045243125
1.40E+18,4.687435,-1.785881,0.807594,0.537289,-0.152725,-0.824896,-0.08689,-0.028469,0.035167,0.810357,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.255516202,0.334405085,-0.072605697,8.638024208,-0.228821833,-4.053415333
1.40E+18,4.687295,-1.785709,0.811642,0.537804,-0.15268,-0.824481,-0.087725,-0.02762,0.033777,0.80891,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.248534885,0.331612558,-0.072605697,8.48275225,-0.286027292,-4.004382083
1.40E+18,4.687158,-1.785544,0.815682,0.538317,-0.152627,-0.824067,-0.088553,-0.026953,0.03199,0.806951,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.247138622,0.33231069,-0.074700092,8.466407833,-0.375921583,-3.930832208
1.40E+18,4.687025,-1.78539,0.819712,0.538828,-0.152566,-0.823657,-0.089371,-0.026473,0.029821,0.805101,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.239459173,0.327423768,-0.074700092,8.539957708,-0.433127042,-3.979865458
1.40E+18,4.686893,-1.785247,0.823734,0.539337,-0.152496,-0.82325,-0.09017,-0.026116,0.027383,0.803612,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.230383461,0.328820031,-0.072605697,8.613507583,-0.473988083,-3.955348833
1.40E+18,4.686763,-1.785116,0.827749,0.539846,-0.152427,-0.822845,-0.090943,-0.026152,0.02473,0.802343,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.222005881,0.323234977,-0.062831853,8.67888525,-0.547537958,-3.881798958
1.40E+18,4.686631,-1.785,0.831759,0.54036,-0.152367,-0.822438,-0.091677,-0.026659,0.021855,0.801509,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.208741379,0.327423768,-0.050265482,8.842329417,-0.604743417,-3.865454542
1.40E+18,4.686495,-1.784898,0.835765,0.540883,-0.152312,-0.822028,-0.092362,-0.027538,0.018902,0.801217,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.190589954,0.323933109,-0.036302848,8.940395917,-0.612915625,-3.8245935
1.40E+18,4.686355,-1.78481,0.839771,0.541412,-0.152266,-0.821619,-0.092986,-0.028684,0.016222,0.801161,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.17243853,0.322536846,-0.018151424,8.997601375,-0.523021333,-3.751043625
1.40E+18,4.686208,-1.784735,0.843777,0.541956,-0.152228,-0.821204,-0.093543,-0.030048,0.013868,0.801131,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.148003921,0.328121899,0,9.013945792,-0.506676917,-3.685665958
1.40E+18,4.686055,-1.784671,0.847783,0.542516,-0.152194,-0.820784,-0.094039,-0.031259,0.011815,0.801125,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.131946891,0.327423768,0.012566371,9.013945792,-0.375921583,-3.742871417
1.40E+18,4.685896,-1.784616,0.851787,0.543088,-0.152157,-0.820361,-0.094491,-0.032016,0.010125,0.800698,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.117984257,0.331612558,0.018151424,8.825985,-0.2941995,-3.702010375
1.40E+18,4.685735,-1.784569,0.855787,0.543677,-0.152105,-0.819932,-0.094913,-0.032448,0.008495,0.799357,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.103323492,0.339292007,0.018849556,8.646196417,-0.2941995,-3.67749375
